0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
绿地春申花园,闵行,107104399790,1498,77916元/平米,2004年建/板楼,4室3厅2厨2卫,高楼层 (共11层),192.26㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-09-02,商品房,2004-02-04,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101319033





查询房管备案记录",,,
沿港河畔家园,奉贤,107104246725,195,27465元/平米,未知年建/板楼,2室1厅1厨1卫,低楼层 (共17层),71㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯四户,暂无数据,2021-07-23,动迁安置房,2018-08-27,普通住宅,满两年,共有,无抵押,已上传房本照片,"码
202101114552





查询房管备案记录",,,
莱阳北小区,浦东,107104270492,253,56123元/平米,1990年建/板楼,1室1厅0厨1卫,高楼层 (共6层),45.08㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2021-07-31,商品房,2003-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101145148





查询房管备案记录",,,
汇龙花苑(闵行),闵行,107104230431,363,34503元/平米,2002年建/板楼,2室1厅1厨2卫,高楼层 (共6层),105.21㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,一梯两户,无,2021-07-18,商品房,2015-12-03,普通住宅,满五年,共有,有抵押 70万元,已上传房本照片,"码
202101203892





查询房管备案记录",,,
辰凯花苑,金山,107103884329,188,18614元/平米,1998年建/板楼,3室2厅1厨1卫,低楼层 (共6层),101㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-04-22,商品房,2007-02-28,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202100733372





查询房管备案记录",,,
华沙一村,浦东,107104230029,339,44653元/平米,1994年建/板楼,2室1厅1厨1卫,中楼层 (共5层),75.92㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-07-18,商品房,2015-07-24,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101062550





查询房管备案记录",,,
浦江瑞和城,闵行,107103931198,365,37264元/平米,2013年建/板楼,3室2厅1厨1卫,低楼层 (共18层),97.95㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯三户,暂无数据,2021-05-04,商品房,2013-05-01,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101206361





查询房管备案记录",,,
金都花好悦园,闵行,107104353376,960,50162元/平米,1999年建/板楼,4室2厅1厨3卫,高楼层 (共6层),191.38㎡,复式,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-08-21,商品房,2001-06-13,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101256507





查询房管备案记录",,,
辽源四村,杨浦,107103525373,435,75548元/平米,1985年建/板楼,2室0厅1厨1卫,高楼层 (共6层),57.58㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2021-01-20,商品房,2017-08-15,普通住宅,满两年,非共有,有抵押 360万元,已上传房本照片,"码
202100554890





查询房管备案记录",,,
好世凤凰城,闵行,107104400122,730,76544元/平米,2004年建/板楼,2室1厅1厨1卫,中楼层 (共5层),95.37㎡,平层,83㎡,板楼,南,钢混结构,简装,一梯两户,无,2021-09-02,商品房,2009-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101319801





查询房管备案记录",,,
星辰园(公寓),松江,107104343238,630,49277元/平米,2005年建/板楼,3室2厅1厨2卫,低楼层 (共18层),127.85㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-08-18,商品房,2009-04-10,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101242260





查询房管备案记录",,,
番禺大厦,长宁,107104352902,850,52007元/平米,1999年建/塔楼,3室2厅1厨2卫,低楼层 (共29层),163.44㎡,平层,暂无数据,塔楼,西,钢混结构,毛坯,三梯十六户,有,2021-08-21,商品房,2007-08-08,普通住宅,满五年,非共有,有抵押 15万元 业主自还,已上传房本照片,"码
202101256900





查询房管备案记录",,,
