,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
1526,beijing,珠江峰景,116.27428647873606,39.885653114700155,丰台,101112752798,5700000.0,55839,High,102.08,Flat,Tower,Steel/Concrete,Hardcover,Yes,2007,2,2,1,1
1527,beijing,壹线国际,116.51027708536255,39.9150162224772,朝阳,101112848592,3850000.0,56911,High,67.65,Flat,Plate,Steel/Concrete,Simplicity,Yes,2008,1,1,1,1
1528,beijing,龙翔路小区,116.38020541192591,39.98727938150684,海淀,101112731713,6500000.0,102849,Middle,63.2,Flat,Plate,Mixed,Simplicity,No,1994,2,1,1,1
1529,beijing,绿岛家园,116.11184777980833,39.94830882725488,门头沟,101112725137,3490000.0,37331,High,93.49,Flat,Plate,Mixed,Hardcover,No,2008,2,1,1,1
1530,beijing,双紫小区,116.30631484304992,39.94568151571869,海淀,101112767201,8100000.0,99265,High,81.6,Flat,Tower,Steel/Concrete,Hardcover,Yes,1999,2,1,1,1
1531,beijing,华龙苑中里,116.37404869545219,40.08618419940118,昌平,101112715031,3670000.0,57282,First Floor ,64.07,Flat,Plate,Mixed,Hardcover,No,1992,2,1,1,1
1532,beijing,三环新城7号院,116.31638341052798,39.85749607118538,丰台,101112724965,6500000.0,56020,Middle,116.03,Flat,Plate,Steel/Concrete,Simplicity,Yes,2005,3,1,1,2
1533,beijing,西木小区,116.27853645193433,39.93916140536714,海淀,101112732046,6430000.0,93596,Middle,68.7,Flat,Plate,Mixed,Hardcover,No,1985,3,1,1,1
1534,beijing,峪园小区,116.10795856610288,39.93650815273648,门头沟,101112715247,2460000.0,35689,High,68.93,Flat,Plate,Mixed,Hardcover,No,1993,2,1,1,1
1535,beijing,龙华园,116.33118101753273,40.0809530687648,昌平,101112777009,4430000.0,60117,Middle,73.69,Flat,Plate,Mixed,Hardcover,No,1995,2,1,1,1
1536,beijing,鹿海园一里,116.50714235845493,39.7675239968717,大兴,101112734503,3130000.0,56124,Middle,55.77,Flat,Plate,Mixed,Simplicity,No,2005,1,1,1,1
1537,beijing,西木小区,116.27853645193433,39.93916140536714,海淀,101112778288,6430000.0,93054,Middle,69.1,Flat,Plate,Mixed,Simplicity,No,1992,3,1,1,1
1538,beijing,锦绣馨园,116.4297467811401,40.0042605402859,朝阳,101112713521,5500000.0,82151,Low,66.95,Flat,Tower,Steel/Concrete,Hardcover,Yes,1999,2,1,1,1
1539,beijing,西坝河中里,116.44704491136243,39.96819767298804,朝阳,101112711162,4880000.0,70807,Middle,68.92,Flat,Tower,Steel/Concrete,Hardcover,Yes,1988,2,1,1,1
