0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2室2厅1厨1卫        ,高楼层(共6层)          ,69.04㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1996 ,精装     ,砖混结构  , ,一梯三户           ,无           ,107103979485          ,商品房          ,2021-05-15         ,普通住宅          ,暂无数据       ,非共有           ,575挂牌价格（万）,12成交周期（天）,1调价（次）,带看（次）,14关注（人）,1766浏览（次）,557万,80678,2021.05.27 成交,古北新城 2室2厅 69.04平米
2室2厅1厨1卫        ,高楼层(共18层)          ,91.5㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,2011 ,毛坯     ,钢混结构  , ,两梯四户           ,有           ,107102781563          ,商品房          ,2020-07-09         ,普通住宅          ,暂无数据       ,共有           ,175挂牌价格（万）,323成交周期（天）,1调价（次）,带看（次）,8关注（人）,1930浏览（次）,172万,18776,2021.05.27 成交,御景龙庭 2室2厅 91.5平米
2室1厅1厨1卫        ,中楼层(共6层)          ,61.71㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,1988 ,毛坯     ,砖混结构  , ,一梯三户           ,无           ,107103860927          ,商品房          ,2021-04-17         ,普通住宅          ,暂无数据       ,非共有           ,88挂牌价格（万）,41成交周期（天）,0调价（次）,带看（次）,0关注（人）,2浏览（次）,84万,13613,2021.05.27 成交,海棠新村 2室1厅 61.71平米
1室1厅1厨1卫        ,高楼层(共4层)          ,42.83㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,1987 ,简装     ,砖混结构  , ,一梯四户           ,无           ,107103924570          ,商品房          ,2021-05-02         ,普通住宅          ,暂无数据       ,共有           ,148挂牌价格（万）,26成交周期（天）,0调价（次）,带看（次）,24关注（人）,3958浏览（次）,144万,33622,2021.05.27 成交,红旗五村 1室1厅 42.83平米
2室1厅1厨1卫        ,中楼层(共6层)          ,54.33㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1983 ,精装     ,砖混结构  , ,一梯六户           ,无           ,107103502876          ,商品房          ,2021-01-14         ,普通住宅          ,暂无数据       ,非共有           ,640挂牌价格（万）,133成交周期（天）,0调价（次）,带看（次）,366关注（人）,41506浏览（次）,620万,114118,2021.05.27 成交,愚园路488弄 2室1厅 54.33平米
3室2厅1厨1卫        ,高楼层(共5层)          ,88.85㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1994 ,简装     ,砖混结构  , ,一梯两户           ,无           ,107103640997          ,商品房          ,2021-03-01         ,普通住宅          ,暂无数据       ,非共有           ,185挂牌价格（万）,88成交周期（天）,1调价（次）,带看（次）,11关注（人）,3480浏览（次）,180万,20259,2021.05.27 成交,贝港北区（二区） 3室2厅 88.85平米
3室2厅1厨1卫        ,高楼层(共14层)          ,112.71㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2003 ,精装     ,钢混结构  , ,一梯两户           ,有           ,107103805171          ,商品房          ,2021-04-03         ,普通住宅          ,暂无数据       ,非共有           ,1280挂牌价格（万）,54成交周期（天）,0调价（次）,带看（次）,118关注（人）,12123浏览（次）,1230万,109130,2021.05.27 成交,绿地世纪城(二期) 3室2厅 112.71平米
2室1厅1厨1卫        ,中楼层(共6层)          ,56㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1989 ,简装     ,砖混结构  , ,一梯三户           ,无           ,107104002011          ,商品房          ,2021-05-22         ,普通住宅          ,暂无数据       ,非共有           ,253挂牌价格（万）,6成交周期（天）,2调价（次）,带看（次）,0关注（人）,296浏览（次）,247万,44018,2021.05.27 成交,城南居委小区 2室1厅 56平米
1室1厅1厨1卫        ,高楼层(共12层)          ,55.07㎡          ,暂无数据              ,暂无数据         ,塔楼       ,南   ,2011 ,其他     ,钢混结构  , ,两梯二十三户           ,有           ,107001853473          ,商品房          ,2016-07-24         ,商业办公类          ,暂无数据       ,非共有           ,125挂牌价格（万）,1768成交周期（天）,2调价（次）,带看（次）,0关注（人）,暂无数据浏览（次）,119万,21609,2021.05.27 成交,江桥万达广场(嘉定) 1室1厅 55.07平米
1室1厅1厨1卫        ,中楼层(共12层)          ,53.35㎡          ,暂无数据              ,53.35㎡         ,板楼       ,南   ,2010 ,毛坯     ,钢混结构  , ,一梯两户           ,有           ,107103953906          ,商品房          ,2021-05-09         ,普通住宅          ,暂无数据       ,共有           ,145挂牌价格（万）,19成交周期（天）,3调价（次）,带看（次）,10关注（人）,1343浏览（次）,139万,26055,2021.05.27 成交,蓝色城邦(公寓) 1室1厅 53.35平米
