,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
86,shanghai,紫阳花苑,121.46058147615298,31.120005367577285,徐汇,107104358647,5230000.0,79027,High,66.18,Flat,Plate,Mixed,Hardcover,No,1996,2,1,1,1
87,shanghai,丰舍西苑,121.66839178977868,31.28126285914203,浦东,107104362186,4960000.0,45459,High,109.11,Flat,Plate,Brick/Concrete,Hardcover,No,2004,3,1,1,1
88,shanghai,济阳三村,121.48923140327436,31.172374304861062,浦东,107104381424,2730000.0,60425,Middle,45.18,Flat,Plate,Brick/Concrete,Hardcover,No,1994,1,1,1,1
89,shanghai,盛华景苑,121.46280109923758,31.114617703085216,徐汇,107104378245,6200000.0,76149,High,81.42,Flat,Plate,Steel/Concrete,Simplicity,Yes,2013,2,2,1,1
90,shanghai,上泰雅苑,121.58898849964908,31.28495907476558,浦东,107104374861,7000000.0,65995,High,106.07,Flat,Plate,Steel/Concrete,Simplicity,No,2003,3,2,1,1
91,shanghai,黄陵小区,121.43287971049739,31.268816412251677,普陀,107104386293,3250000.0,67428,High,48.2,Flat,Plate,Brick/Concrete,Simplicity,No,1995,2,0,1,1
92,shanghai,淞虹苑,121.36928893293769,31.218572120488528,长宁,107104405134,3250000.0,67624,Low,48.06,Flat,Plate,Brick/Concrete,Hardcover,No,1999,2,1,1,0
93,shanghai,丹桂佳苑,121.76749689601426,31.031040109428755,浦东,107104357305,2060000.0,25333,High,81.32,Flat,Plate,Steel/Concrete,Rough,No,2008,2,2,1,1
94,shanghai,牡丹逸庭,121.25493509067026,31.109615279847144,松江,107104385724,2850000.0,36446,Middle,78.2,Flat,Plate,Steel/Concrete,Simplicity,Yes,2012,2,1,0,1
95,shanghai,景舒苑十村西区,121.49777545647142,31.07467932369823,闵行,107104379424,3650000.0,50048,Middle,72.93,Flat,Plate,Steel/Concrete,Hardcover,No,2006,2,2,1,1
96,shanghai,金水苑,121.50419187306808,30.96161695069398,奉贤,107104385684,2940000.0,21949,Middle,133.95,Flat,Plate,Steel/Concrete,Hardcover,No,2007,3,2,1,2
97,shanghai,春申景城湖畔林语,121.41928718033425,31.11084102183258,闵行,107104379665,9330000.0,85983,Low,108.51,Flat,Plate,Steel/Concrete,Hardcover,Yes,2007,2,2,1,2
98,shanghai,通波小区,121.24638501882629,31.021307809000955,松江,107104383726,3250000.0,35018,High,92.81,Flat,Plate,Brick/Concrete,Simplicity,No,NaN,3,2,1,1
99,shanghai,圣鑫苑,121.5921235858789,31.133715436583294,浦东,107104402044,4150000.0,49767,Low,83.39,Flat,Plate,Steel/Concrete,Hardcover,Yes,2008,2,1,1,1
100,shanghai,新理想花园,121.2045660227592,31.02474288053761,松江,107104385525,3100000.0,34066,Middle,91,Flat,Plate,Steel/Concrete,Hardcover,Yes,2006,3,1,0,1
101,shanghai,汪家井小区,121.43877789464536,31.26470131042664,普陀,107104385816,3980000.0,62975,High,63.2,Flat,Plate,Brick/Concrete,Hardcover,No,1991,2,1,0,1
102,shanghai,潼港二村,121.58108781285827,31.345741846928753,浦东,107104382610,2900000.0,42919,High,67.57,Flat,Plate,Brick/Concrete,Simplicity,No,1994,2,1,1,1
103,shanghai,昆阳小区,121.37937861059523,31.00448266249887,闵行,107104390424,1430000.0,30271,Middle,47.24,Flat,Plate,Brick/Concrete,Simplicity,No,1989,2,1,1,1
104,shanghai,朱家门小区,121.58722818017172,31.282702153952755,浦东,107104386186,3500000.0,59983,High,58.35,Flat,Plate,Brick/Concrete,Simplicity,No,1990,2,1,1,1
105,shanghai,南中街51号,121.48053886017651,31.235929042252014,闵行,107104384868,2070000.0,31710,Middle,65.28,Flat,Plate,Brick/Concrete,Simplicity,No,1991,2,1,1,1
106,shanghai,佳宝新村,121.35105315142404,31.16027545816702,闵行,107104401945,4050000.0,64832,Low,62.47,Flat,Plate,Brick/Concrete,Hardcover,No,1994,2,1,1,1
107,shanghai,康桥水都(公寓),121.4442749853831,31.367352864903182,宝山,107104384137,4400000.0,39555,Low,111.24,Flat,Plate,Steel/Concrete,Simplicity,No,2008,2,2,1,2
108,shanghai,贝港南区（八区）,121.45250597910994,30.914139874266304,奉贤,107104383961,2350000.0,18314,High,128.32,Flat,Plate,Brick/Concrete,Simplicity,No,1997,3,2,1,2
109,shanghai,金杨新村九街坊,121.58821595691049,31.25970488503576,浦东,107104405354,3490000.0,59925,Low,58.24,Flat,Plate,Brick/Concrete,Hardcover,No,1994,2,1,1,1
110,shanghai,紫堤坊,121.30288906421777,31.2131291186402,闵行,107104396869,3750000.0,43328,Low,86.55,Flat,Plate,Steel/Concrete,Hardcover,No,2004,2,2,1,1
111,shanghai,解放新村,121.45984199105717,30.91896384361939,奉贤,107104397041,2520000.0,18206,High,138.42,Flat,Plate,Brick/Concrete,Simplicity,No,2001,3,2,1,2
112,shanghai,凤庆小区,121.40787232238841,31.02126100141911,闵行,107104377712,1899000.0,35953,High,52.82,Flat,Plate,Brick/Concrete,Hardcover,No,1987,2,1,1,1
113,shanghai,古美五村,121.41453253910049,31.151640802584804,闵行,107104356852,4350000.0,69445,High,62.64,Flat,Plate,Brick/Concrete,Hardcover,No,1995,2,1,1,1
114,shanghai,寿昌坊,121.42734102821451,31.157011819406026,徐汇,107104351652,3150000.0,80770,High,39,Flat,Plate,Brick/Concrete,Simplicity,No,1986,1,1,1,1
115,shanghai,众旺苑,121.44804301767526,30.918382876667124,奉贤,107104300468,5500000.0,21073,High,261,Duplex,Plate,Steel/Concrete,Hardcover,Yes,2006,4,3,1,3
116,shanghai,复元坊,121.47179502383405,31.25645489668166,静安,107104341471,3800000.0,89223,High,42.59,Flat,Plate,Steel/Concrete,Hardcover,No,1993,2,0,1,1
117,shanghai,阳明花园广场（一期）,121.59847550413996,31.341319870032926,浦东,107104316685,6200000.0,43820,Low,141.49,Flat,Tower,Steel/Concrete,Hardcover,Yes,1996,3,2,1,2
118,shanghai,米兰诺贵都,121.2391561747264,31.108354042835707,松江,107104357371,4500000.0,50039,Middle,89.93,Flat,Plate,Steel/Concrete,Hardcover,Yes,2013,2,2,1,1
119,shanghai,同润菲诗艾伦,121.25891700950434,31.11155382773749,松江,107104371732,1950000.0,35481,Low,54.96,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2010,2,1,1,1
120,shanghai,德华四村,121.31454385956532,31.303573870645014,嘉定,107104387379,2800000.0,38158,High,73.38,Flat,Plate,Brick/Concrete,Simplicity,No,1994,2,1,0,1
121,shanghai,供销三村,121.78580103857722,31.05553085212552,浦东,107104382760,1420000.0,22907,High,61.99,Flat,Plate,Brick/Concrete,Simplicity,No,1984,2,1,1,1
122,shanghai,锦苑小区(长宁),121.39558449114797,31.206246894797815,长宁,107104356096,2630000.0,74865,High,35.13,Flat,Plate,Brick/Concrete,Hardcover,No,1990,1,1,1,1
123,shanghai,平南三四村,121.41956331944802,31.423892082387205,闵行,107104391428,5100000.0,75023,High,67.98,Flat,Plate,Brick/Concrete,Simplicity,No,1995,2,1,1,1
124,shanghai,罗阳四村,121.41582690750982,31.126457436717267,闵行,107104381818,2600000.0,58811,Low,44.21,Flat,Plate,Brick/Concrete,Simplicity,No,1996,1,1,1,1
125,shanghai,上海大花园,121.51711309952361,31.27041724654114,杨浦,107104354550,11200000.0,93826,Low,119.37,Flat,Plate,Steel/Concrete,Hardcover,Yes,2001,2,2,1,2
126,shanghai,太浜巷小区,121.43203961518446,31.25674630670363,普陀,107104352656,4250000.0,65225,High,65.16,Flat,Plate,Brick/Concrete,Hardcover,No,1989,2,1,1,1
127,shanghai,桃园新城中城苑,121.5943530903241,31.095141921992063,浦东,107104355878,4090000.0,44510,High,91.89,Flat,Plate,Steel/Concrete,Hardcover,No,2006,3,2,1,1
128,shanghai,陆凌新村,121.56883806977146,31.353861879264105,浦东,107104356782,2600000.0,37303,High,69.7,Flat,Plate,Brick/Concrete,Simplicity,No,1994,2,1,1,1
129,shanghai,市光四村,121.54189878583271,31.325748911753458,杨浦,107104371688,4500000.0,61993,High,72.59,Flat,Tower,Steel/Concrete,Simplicity,Yes,1996,2,2,1,1
