,City,HouseName,Lng,Lat,tradeTime,DOM,followers,totalPrice,price,square,bedRoom,livingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
52,Shanghai,宝华城市之星,121.43626308837017,31.26044935747112,2021,78,45,19900000.0,136686.0,145.59,3.0,2,1,2,Low,Plate       ,2018 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
53,Shanghai,曲阳名邸,121.48812289427507,31.293069898881157,2021,15,40,8080000.0,92640.0,87.22,2.0,2,1,1,Low,Plate       ,2005 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
54,Shanghai,华一新城,121.40524612623,31.16427379203681,2021,39,14,5820000.0,107958.0,53.91,1.0,1,1,1,Low,Plate       ,2012 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
55,Shanghai,番禺路385弄,121.43679111234893,31.210389894625358,2021,9,1,3510000.0,92006.0,38.15,1.0,0,1,1,High,Plate       ,1991 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
56,Shanghai,阳明国际花苑五期,121.39087997536168,31.126574827271213,2021,72,35,7150000.0,75407.0,94.82,2.0,2,1,1,High,Plate       ,2004 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
57,Shanghai,绿地蔷薇九里(公寓),121.23648353617313,31.0672587805851,2021,262,84,7070000.0,54410.0,129.94,3.0,2,1,2,Low,Plate       ,2013 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
58,Shanghai,双山小区,121.43063619248622,31.266822854483696,2021,59,27,4110000.0,63781.0,64.44,2.0,1,1,1,High,Plate       ,1993 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
59,Shanghai,万荣小区,121.4434830392455,31.291387910096027,2021,78,66,4630000.0,60505.0,76.44,2.0,1,1,1,High,Plate       ,1994 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
60,Shanghai,万顺水原墅(公寓),121.42263597344491,31.048741874239887,2021,69,86,3660000.0,38125.0,96.0,2.0,2,1,1,Middle,Tower       ,2012 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
61,Shanghai,通阁小区,121.47737197393164,31.26726084666834,2021,5,0,3280000.0,85306.0,38.45,1.0,1,1,1,Low,Plate       ,1994 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
62,Shanghai,菊泉新城(陆翔路358弄),121.37587000893436,31.356828865853245,2021,46,53,3210000.0,45059.0,71.24,2.0,1,1,1,High,Plate       ,2005 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
63,Shanghai,铁路新村(杨浦),121.53251993732523,31.265524144657057,2021,49,47,3580000.0,67433.0,53.09,2.0,1,1,1,High,Plate       ,1986 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
64,Shanghai,中华新路893弄,121.46198462935958,31.261228396340947,2021,69,55,3280000.0,73068.0,44.89,2.0,0,1,1,High,Plate       ,1980 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
65,Shanghai,海棠新村,121.35459103784454,30.725997145356192,2021,13,38,660000.0,15000.0,44.0,2.0,1,1,1,High,Plate       ,1988 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
66,Shanghai,齐二小区,121.51987601778065,31.18923686973554,2021,3,0,2350000.0,57472.0,40.89,1.0,1,1,1,High,Plate       ,1994 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
67,Shanghai,恒盛湖畔豪庭,121.4971610155026,30.933671862755862,2021,38,14,3470000.0,49424.0,70.21,2.0,1,1,1,Low,Plate       ,2011 ,Hardcover     ,Steel/Concrete  ,Unknown           ,Unknown,Unknown
