,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
250,guangzhou,元邦航空家园,113.26543641281035,23.211099367024065,白云,108402545649,2790000.0,28882,Middle,96.6,Flat,Tower,Steel/Concrete,Hardcover,Yes,2004,3,2,1,1
251,guangzhou,润祥大厦,113.33220548507282,23.191105231135474,白云,108402534795,2380000.0,32919,Middle,72.3,Flat,Tower,Steel/Concrete,Hardcover,Yes,2000,3,2,1,1
252,guangzhou,丽晴轩,113.34182903199805,23.15724289917051,天河,108402553552,7500000.0,74405,Middle,100.8,Flat,Tower,Steel/Concrete,Hardcover,Yes,2002,3,2,1,2
253,guangzhou,长乐花苑二期,113.33431910810656,23.09026211998348,荔湾,108402568183,4800000.0,39095,High,122.78,Flat,Tower,Steel/Concrete,Hardcover,Yes,2010,3,2,1,2
254,guangzhou,白云高尔夫花园荷塘月色,113.27721993533359,23.205058446495876,白云,108402556340,4500000.0,49840,Low,90.29,Split-Level,Tower,Steel/Concrete,Simplicity,Yes,2002,3,2,1,1
255,guangzhou,福今路3号大院,113.30874201465161,23.132795042178916,越秀,108402568038,4100000.0,76265,Low,53.76,Flat,Plate,Mixed,Simplicity,No,NaN,2,1,1,1
256,guangzhou,逸景翠园,113.31296701495528,23.08945403334804,海珠,108402567155,4750000.0,65626,Middle,72.38,Flat,Tower,Steel/Concrete,Simplicity,Yes,2002,3,1,1,1
257,guangzhou,黄船生活区,113.4209682202816,23.0827906011596,黄埔,108402569299,2180000.0,31349,Middle,69.54,Flat,Plate,Steel/Concrete,Simplicity,No,NaN,2,1,1,1
258,guangzhou,凤凰新村,113.35677997974842,23.155745994062777,海珠,108402546855,1660000.0,31333,High,52.98,Flat,Tower,Mixed,Hardcover,No,NaN,2,1,1,1
259,guangzhou,侨德花园,113.24300410728368,23.168562343203764,白云,108402570692,1250000.0,25790,Middle,48.47,Flat,Tower,Steel/Concrete,Simplicity,No,1998,2,1,1,1
260,guangzhou,悦涛雅苑,113.46344926749552,23.099788411864008,黄埔,108402544213,3650000.0,48390,Low,75.43,Flat,Tower,Steel/Concrete,Hardcover,No,2000,3,1,1,1
261,guangzhou,新世界凯粤湾,113.22050487799655,23.121703119873036,荔湾,108402564559,4050000.0,47121,Middle,85.95,Flat,Tower,Steel/Concrete,Simplicity,Yes,2014,2,1,1,1
262,guangzhou,康盈阁,113.26481658200866,23.179043046739046,白云,108402554279,1850000.0,20806,Middle,88.92,Flat,Tower,Steel/Concrete,Hardcover,Yes,1995,3,1,1,1
263,guangzhou,港务局宿舍,113.25664999678959,23.105259741182092,海珠,108402562338,2480000.0,37997,Middle,65.27,Flat,Tower,Steel/Concrete,Hardcover,No,1995,3,2,1,1
264,guangzhou,东怡新区东信园,113.39920326591808,22.938372242567507,番禺,108402530220,2550000.0,30591,Middle,83.36,Flat,Tower,Steel/Concrete,Simplicity,No,2000,3,1,1,1
265,guangzhou,中海名都,113.28265674976983,23.115777359901386,海珠,108402546620,6600000.0,73252,Middle,90.1,Flat,Tower,Steel/Concrete,Simplicity,Yes,2003,2,2,1,1
266,guangzhou,建研大厦,113.30077611088339,23.224353382564185,白云,108402559789,4300000.0,40945,Middle,105.02,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,3,2,1,2
267,guangzhou,今日丽舍,113.32075712033524,23.020390076529225,番禺,108402544671,2590000.0,25122,Low,103.1,Flat,Tower,Steel/Concrete,Hardcover,Yes,2000,3,1,1,1
268,guangzhou,雅怡居,113.40893505865719,23.124913962724648,天河,108402535479,2150000.0,41506,Middle,51.8,Flat,Tower,Steel/Concrete,Hardcover,No,2000,2,1,1,1
269,guangzhou,芬芳小区,113.23031895552037,23.09040565187918,荔湾,108402532667,1500000.0,31970,Middle,46.92,Flat,Tower,Steel/Concrete,Hardcover,No,1996,2,1,1,1
