City,HouseName,District,TotalPrice,Price,Floor,Square,ConstructionTime,Bedrooms,LivingRooms,Kitchens,Bathrooms,Type,Structure,Renovation,Elevator,FloorType,Lng,Lat,ID
beijing,国美第一城3号院,朝阳,7390000.0,66975,Middle,110.34,2007,2,2,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.52147051100017,39.93969283176998,101112731964
beijing,芳古园一区,丰台,4380000.0,69195,Middle,63.3,1992,2,1,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.43110403093513,39.874733074373154,101112737396
beijing,天通苑北一区,昌平,4580000.0,40478,Middle,113.15,2004,3,1,1,2,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.42363345282249,40.08074377094799,101112763384
beijing,鸿业兴园二区,丰台,4450000.0,52041,Low,85.51,2010,2,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.31310782931638,39.84481389703488,101112745847
beijing,建设三里,丰台,2210000.0,29873,High,73.98,1999,2,1,1,1,Plate,Brick/Concrete,Simplicity,No,Flat,116.1974532406705,39.837451253352725,101112757977
beijing,福润四季B区,朝阳,3690000.0,49050,Low,75.23,2015,2,1,1,1,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.58800997639635,39.963827098290054,101112698899
beijing,金隅通和园,通州,3150000.0,37608,Low,83.76,NaN,2,1,1,1,Plate & Tower,Steel/Concrete,Hardcover,Yes,Flat,116.71026890715162,39.88240382145911,101112781832
beijing,芳园南里西区,朝阳,2880000.0,60013,Middle,47.99,1996,1,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.48838636822043,39.976054363234056,101112823840
beijing,宏大北园,大兴,3880000.0,41356,Top ,93.82,2006,2,1,1,1,Plate,Steel/Concrete,Other,Yes,Flat,116.34767579313748,39.80573399894347,101112723923
beijing,碧桂园小区C区,房山,2690000.0,29186,High,92.17,2007,2,1,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.17667354778312,39.76883264973147,101112768863
beijing,冠城南园,海淀,9500000.0,132073,High,71.93,1998,1,1,1,1,Plate & Tower,Steel/Concrete,Rough,Yes,Flat,116.38405626798608,39.97890324344601,101112852061
beijing,农展南里,朝阳,4750000.0,73758,Top ,64.4,1980,2,1,1,1,Plate,Steel/Concrete,Hardcover,No,Flat,116.47025254438216,39.940087267102626,101112845730
beijing,首开国风美唐二期,昌平,6250000.0,75584,Middle,82.69,2014,2,1,1,1,Plate,Steel/Concrete,Simplicity,Yes,Flat,116.36684096153176,40.08549404374912,101112795495
beijing,西木小区,海淀,5980000.0,96608,First Floor ,61.9,1992,2,1,1,1,Tower,Mixed,Hardcover,No,Flat,116.27853645193433,39.93916140536714,101112842890
beijing,双峪路小区,门头沟,1820000.0,33754,Top ,53.92,1981,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.11543103065709,39.94123508577637,101112795819
beijing,凯盛家园,海淀,5080000.0,65372,Low,77.71,2013,2,1,1,1,Plate,Steel/Concrete,Hardcover,Yes,Flat,116.17806403488203,40.055980084788814,101112798250
beijing,安慧里四区,朝阳,4590000.0,86588,High,53.01,1989,2,1,1,1,Plate,Mixed,Hardcover,No,Flat,116.41929418805655,39.99693547177334,101112813815
beijing,乔建里,海淀,5490000.0,110021,High,49.9,1991,1,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.33247071475341,39.90773139325084,101112803230
beijing,长城国际,通州,2330000.0,43406,High,53.68,2009,1,1,1,1,Tower,Steel/Concrete,Hardcover,Yes,Flat,116.32356949528558,39.903923778112734,101112804483
beijing,恋日花都,丰台,5400000.0,78764,Middle,68.56,2006,2,1,1,1,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.3578362572692,39.849596993714144,101112725684
beijing,慧时欣园二期,丰台,6650000.0,66414,Middle,100.13,2003,2,1,1,2,Tower,Steel/Concrete,Simplicity,Yes,Flat,116.41902236080924,39.85326827291929,101112750783
beijing,建材城东二里,海淀,4600000.0,69007,Middle,66.66,1998,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.38180529403918,40.069466952885065,101112841410
beijing,枣园北里,大兴,2530000.0,31792,High,79.58,1996,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.32993425931542,39.759658033040274,101112699959
beijing,新桥南大街,门头沟,1850000.0,33364,High,55.45,1989,2,1,1,1,Plate,Mixed,Simplicity,No,Flat,116.11551807825761,39.93411265446014,101112849034
beijing,珠江丽景家园,通州,3200000.0,40491,High,79.03,2010,2,1,1,1,Plate & Tower,Steel/Concrete,Simplicity,Yes,Flat,116.68897322757931,39.937424714979855,101112838397
